_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,stories_hidden,stories_hidden_min,stories_unavailable,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,stories_max_id,color,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1412053777,Charlie Kirk,"{'_': 'ChatPhoto', 'photo_id': 3526623782077835182, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd0\x13\xc4\xd2\xab\x89>O\xba\x0fbh\xa2\x8aC?'}",2019-06-25 03:41:19+00:00,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,4479624393685092681,CharlieKirk,[],,,,161497,[],,,132,131,1,{'channels': ['self']},['CharlieKirk']
Channel,1453677131,KanekoaTheGreat,"{'_': 'ChatPhoto', 'photo_id': 4960893510320499086, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xaew\x08v\x81\xceh\xa2\x8a\x94Q'}",2021-05-12 04:24:49+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-7765345241891247387,KanekoaTheGreat,[],,,,183550,[],,,7,7,0,{'channels': ['self']},['CharlieKirk']
Channel,1321032251,KanekoaChat,"{'_': 'ChatPhoto', 'photo_id': 4965718579660040496, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xaew\x08J\x81\xceh\xa2\x8a\x92\x8f'}",2021-05-13 20:43:54+00:00,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-2128050329058743447,KanekoaChat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': True, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': True, 'send_polls': True, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False, 'send_photos': True, 'send_videos': True, 'send_roundvideos': True, 'send_audios': True, 'send_voices': True, 'send_docs': True, 'send_plain': False}",3349,[],,,1,0,1,{'channels': ['KanekoaTheGreat']},['CharlieKirk']
Channel,1391253363,Midnight Rider Channel 🇺🇸,"{'_': 'ChatPhoto', 'photo_id': 5082404633409858754, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\xa4V\x01\x0eG'\x1d\xcfz(\xa2\x80g""}",2021-01-19 04:53:59+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-4456163437214263532,realKarliBonne,[],,,,198504,[],,,43,43,0,{'channels': ['self']},['CharlieKirk']
Channel,1179270258,Disclose.tv,"{'_': 'ChatPhoto', 'photo_id': 5393580215210457318, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x83\xfd\x03\xec{\xb6\xa6\xff\x00/oS\xbb\x7f\xd3\xa6(\xa2\x8a\x00'}",2021-01-09 11:51:05+00:00,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,1624389856745831378,disclosetv,[],,,,387408,[],,,14,14,0,{'channels': ['self']},['CharlieKirk']
Channel,1448934279,Disclose.tv Chat,"{'_': 'ChatPhoto', 'photo_id': 5262507275149489656, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xad\xfe\x87\xf6M\xf8\x8fv\xdd\xb8\xe7v\xec~TQE\x00\x7f'}",2021-01-09 12:45:50+00:00,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,871572244894761944,disclosetv_chat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': True, 'send_stickers': True, 'send_gifs': True, 'send_games': True, 'send_inline': True, 'embed_links': True, 'send_polls': True, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': True, 'send_photos': True, 'send_videos': True, 'send_roundvideos': True, 'send_audios': True, 'send_voices': True, 'send_docs': True, 'send_plain': False}",14891,[],,,1,0,1,{'channels': ['disclosetv']},['CharlieKirk']
Channel,1200851498,Jack Posobiec,"{'_': 'ChatPhoto', 'photo_id': 5134189771357268461, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x87r\xc2\xaa\xe4r\x0e3\xdf\xe9E\x14SBi3'}",2021-01-12 04:45:39+00:00,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-7136973573933719606,Jack_Posobiec,[],,,,147898,[],,,56,56,0,{'channels': ['self']},['CharlieKirk']
Channel,1250848320,Steve Bannon's War Room Pandemic,"{'_': 'ChatPhoto', 'photo_id': 6203858862554065459, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xae\xad\x12\xc1\x9d\xb88\xc7\xbd\x14QR\x91\xb3v?'}",2020-11-29 08:25:11+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,5988134434388481819,steve_bannon,[],,,,60327,[],,,3,3,0,{'channels': ['self']},['CharlieKirk']
Channel,1321304299,Steve Bannon's War Room Pandemic Chat,"{'_': 'ChatPhoto', 'photo_id': 6127689975496551339, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb6D\xff\x00j\xc7\xcf\x8d\xd9\xeb\xc6(\xa2\x8aIX\xa6\xcf'}",2021-02-08 10:19:12+00:00,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-4505839937631567290,Bannon_War_Room,"[{'_': 'RestrictionReason', 'platform': 'ios', 'reason': 'porn', 'text': 'Sorry, this group is temporarily inaccessible on your device to give its moderators time to clean up after users who posted pornographic content. We will reopen the group as soon as order is restored.'}]",,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': False, 'pin_messages': True, 'manage_topics': False, 'send_photos': False, 'send_videos': False, 'send_roundvideos': False, 'send_audios': False, 'send_voices': False, 'send_docs': False, 'send_plain': False}",1179,[],,,1,0,1,{'channels': ['steve_bannon']},['CharlieKirk']
Channel,1211378130,War Room: Official Telegram Channel,"{'_': 'ChatPhoto', 'photo_id': 4933935241849055483, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb6D\xdfj\xc7\xcf\x8d\xd9\xeb\xc6(\xa2\x8aI\x14\xd9'}",2021-01-26 01:03:34+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,6331776664277183454,BannonWarRoom,[],,,,61639,[],,,8,8,0,{'channels': ['self']},['CharlieKirk']
